X,Y
-274946.4368,-27514.4936
-276456.4348,-27514.4873
-275841.4455,-27514.4936
-274946.4309,-27004.5018
-274946.4309,-26294.4952
-274946.4284,-25669.493
-274946.4273,-25094.4924
-275841.4369,-25094.4892
-275841.438,-25669.4898
-275841.4396,-26294.4952
-276456.4289,-26294.4889
-275841.4396,-27004.5018
-276456.4289,-27004.4955
-267806.4364,-29579.4922
-268706.4364,-29579.4922
-269396.4364,-29579.4922
-269391.4364,-28824.4922
-269391.4364,-27894.4922
-272151.9062,-28061.2716
-272196.4364,-28384.4922
-273026.4364,-28384.4922
-273896.4364,-28384.4922
-274776.4364,-28384.4922
-274776.4364,-28059.4922
-274776.4364,-27309.4922
-274776.4364,-26559.4922
-274766.4364,-25809.4922
-274766.4364,-24984.4922
-274766.4364,-24009.4922
-273896.4364,-24009.4922
-273026.4364,-24009.4922
-272156.4364,-24009.4922
-272156.4364,-25808.1075
-272151.9062,-26562.2664
-272151.9062,-27312.6301
-271286.4364,-24009.4922
-270416.4364,-24009.4922
-269396.4364,-24009.4922
-268706.4364,-24009.4922
-267806.4364,-24009.4922
-269391.4364,-26963.4882
-269395.7637,-26034.4444
-269461.4611,-25807.5673
-270414.94,-25810.3445
-271283.6633,-25808.1941
-260786.4364,-27894.4922
-260786.4364,-28824.4922
-260786.4364,-29574.4922
-261386.4364,-29574.4922
-262286.4364,-29579.4922
-263186.4364,-29579.4922
-264116.4364,-29579.4922
-265046.4364,-29579.4922
-265976.4364,-29579.4922
-266906.4364,-29579.4922
-266906.4364,-24009.4922
-265976.4364,-24009.4922
-265046.4364,-24009.4922
-264116.4364,-24009.4922
-263186.4364,-24009.4922
-262286.4364,-24009.4922
-261386.4364,-24009.4922
-260832.6244,-24009.4922
-260784.1448,-25137.365
-260786.4364,-26034.4922
-260786.4364,-26964.4922
-260606.4451,-27614.4848
-259281.8976,-27614.4922
-259281.8976,-28444.4922
-260606.4451,-28444.4848
-260606.4451,-29024.4848
-260606.4451,-29604.4848
-259281.8976,-29604.4922
-259281.8976,-29024.4922
